ID,Var_ID,Name,Description,ord
211-0,211,absent,absent,0
211-1,211,present,present,1
212-0,212,absent,absent,0
212-1,212,present,present,1
213-0,213,absent,absent,0
213-1,213,present,present,1
214-0,214,absent,absent,0
214-1,214,present,present,1
215-0,215,absent,absent,0
215-1,215,present,present,1
216-0,216,absent,absent,0
216-1,216,present,present,1
217-0,217,absent,absent,0
217-1,217,present,present,1
218-0,218,absent,absent,0
218-1,218,present,present,1
219-0,219,absent,absent,0
219-1,219,present,present,1
220-0,220,absent,absent,0
220-1,220,present,present,1
221-0,221,absent,absent,0
221-1,221,present,present,1
222-0,222,absent,absent,0
222-1,222,present,present,1
223-0,223,absent,absent,0
223-1,223,present,present,1
224-0,224,absent,absent,0
224-1,224,present,present,1
225-0,225,absent,absent,0
225-1,225,present,present,1
226-0,226,absent,absent,0
226-1,226,present,present,1
227-0,227,absent,absent,0
227-1,227,present,present,1
228-0,228,absent,absent,0
228-1,228,present,present,1
229-0,229,absent,absent,0
229-1,229,present,present,1
230-0,230,absent,absent,0
230-1,230,present,present,1
231-0,231,absent,absent,0
231-1,231,present,present,1
232-0,232,absent,absent,0
232-1,232,present,present,1
233-0,233,absent,absent,0
233-1,233,present,present,1
234-0,234,absent,absent,0
234-1,234,present,present,1
235-0,235,absent,absent,0
235-1,235,present,present,1
236-0,236,absent,absent,0
236-1,236,present,present,1
237-0,237,absent,absent,0
237-1,237,present,present,1
238-0,238,absent,absent,0
238-1,238,present,present,1
239-0,239,absent,absent,0
239-1,239,present,present,1
240-0,240,absent,absent,0
240-1,240,present,present,1
241-0,241,absent,absent,0
241-1,241,present,present,1
242-0,242,absent,absent,0
242-1,242,present,present,1
243-0,243,absent,absent,0
243-1,243,present,present,1
244-0,244,absent,absent,0
244-1,244,present,present,1
245-0,245,absent,absent,0
245-1,245,present,present,1
246-0,246,absent,absent,0
246-1,246,present,present,1
247-0,247,absent,absent,0
247-1,247,present,present,1
248-0,248,absent,absent,0
248-1,248,present,present,1
249-0,249,absent,absent,0
249-1,249,present,present,1
250-0,250,absent,absent,0
250-1,250,present,present,1
251-0,251,absent,absent,0
251-1,251,present,present,1
252-0,252,absent,absent,0
252-1,252,present,present,1
253-0,253,absent,absent,0
253-1,253,present,present,1
254-0,254,absent,absent,0
254-1,254,present,present,1
255-0,255,absent,absent,0
255-1,255,present,present,1
256-0,256,absent,absent,0
256-1,256,present,present,1
257-0,257,absent,absent,0
257-1,257,present,present,1
258-0,258,absent,absent,0
258-1,258,present,present,1
259-0,259,absent,absent,0
259-1,259,present,present,1
260-0,260,absent,absent,0
260-1,260,present,present,1
261-0,261,absent,absent,0
261-1,261,present,present,1
262-0,262,absent,absent,0
262-1,262,present,present,1
263-0,263,absent,absent,0
263-1,263,present,present,1
264-0,264,absent,absent,0
264-1,264,present,present,1
265-0,265,absent,absent,0
265-1,265,present,present,1
266-0,266,absent,absent,0
266-1,266,present,present,1
267-0,267,absent,absent,0
267-1,267,present,present,1
268-0,268,absent,absent,0
268-1,268,present,present,1
269-0,269,absent,absent,0
269-1,269,present,present,1
270-0,270,absent,absent,0
270-1,270,present,present,1
271-0,271,absent,absent,0
271-1,271,present,present,1
272-0,272,absent,absent,0
272-1,272,present,present,1
273-0,273,absent,absent,0
273-1,273,present,present,1
274-0,274,absent,absent,0
274-1,274,present,present,1
275-0,275,absent,absent,0
275-1,275,present,present,1
276-0,276,absent,absent,0
276-1,276,present,present,1
277-0,277,absent,absent,0
277-1,277,present,present,1
278-0,278,absent,absent,0
278-1,278,present,present,1
279-0,279,absent,absent,0
279-1,279,present,present,1
280-0,280,absent,absent,0
280-1,280,present,present,1
281-0,281,absent,absent,0
281-1,281,present,present,1
282-0,282,absent,absent,0
282-1,282,present,present,1
283-0,283,absent,absent,0
283-1,283,present,present,1
284-0,284,absent,absent,0
284-1,284,present,present,1
285-0,285,absent,absent,0
285-1,285,present,present,1
286-0,286,absent,absent,0
286-1,286,present,present,1
287-0,287,absent,absent,0
287-1,287,present,present,1
288-0,288,absent,absent,0
288-1,288,present,present,1
289-0,289,absent,absent,0
289-1,289,present,present,1
290-0,290,absent,absent,0
290-1,290,present,present,1
291-0,291,absent,absent,0
291-1,291,present,present,1
292-0,292,absent,absent,0
292-1,292,present,present,1
293-0,293,absent,absent,0
293-1,293,present,present,1
294-0,294,absent,absent,0
294-1,294,present,present,1
295-0,295,absent,absent,0
295-1,295,present,present,1
296-0,296,absent,absent,0
296-1,296,present,present,1
297-0,297,absent,absent,0
297-1,297,present,present,1
298-0,298,absent,absent,0
298-1,298,present,present,1
299-0,299,absent,absent,0
299-1,299,present,present,1
300-0,300,absent,absent,0
300-1,300,present,present,1
301-0,301,absent,absent,0
301-1,301,present,present,1
302-0,302,absent,absent,0
302-1,302,present,present,1
303-0,303,absent,absent,0
303-1,303,present,present,1
304-0,304,absent,absent,0
304-1,304,present,present,1
305-0,305,absent,absent,0
305-1,305,present,present,1
306-0,306,absent,absent,0
306-1,306,present,present,1
307-0,307,absent,absent,0
307-1,307,present,present,1
308-0,308,absent,absent,0
308-1,308,present,present,1
309-0,309,absent,absent,0
309-1,309,present,present,1
310-0,310,absent,absent,0
310-1,310,present,present,1
311-0,311,absent,absent,0
311-1,311,present,present,1
312-0,312,absent,absent,0
312-1,312,present,present,1
313-0,313,absent,absent,0
313-1,313,present,present,1
314-0,314,absent,absent,0
314-1,314,present,present,1
315-0,315,absent,absent,0
315-1,315,present,present,1
316-0,316,absent,absent,0
316-1,316,present,present,1
317-0,317,absent,absent,0
317-1,317,present,present,1
318-0,318,absent,absent,0
318-1,318,present,present,1
319-0,319,absent,absent,0
319-1,319,present,present,1
320-0,320,absent,absent,0
320-1,320,present,present,1
321-0,321,absent,absent,0
321-1,321,present,present,1
322-0,322,absent,absent,0
322-1,322,present,present,1
323-0,323,absent,absent,0
323-1,323,present,present,1
324-0,324,absent,absent,0
324-1,324,present,present,1
325-0,325,absent,absent,0
325-1,325,present,present,1
326-0,326,absent,absent,0
326-1,326,present,present,1
327-0,327,absent,absent,0
327-1,327,present,present,1
328-0,328,absent,absent,0
328-1,328,present,present,1
329-0,329,absent,absent,0
329-1,329,present,present,1
330-0,330,absent,absent,0
330-1,330,present,present,1
331-0,331,absent,absent,0
331-1,331,present,present,1
332-0,332,absent,absent,0
332-1,332,present,present,1
333-0,333,absent,absent,0
333-1,333,present,present,1
334-0,334,absent,absent,0
334-1,334,present,present,1
335-0,335,absent,absent,0
335-1,335,present,present,1
336-0,336,absent,absent,0
336-1,336,present,present,1
337-0,337,absent,absent,0
337-1,337,present,present,1
338-0,338,absent,absent,0
338-1,338,present,present,1
339-0,339,absent,absent,0
339-1,339,present,present,1
340-0,340,absent,absent,0
340-1,340,present,present,1
341-0,341,absent,absent,0
341-1,341,present,present,1
342-0,342,absent,absent,0
342-1,342,present,present,1
343-0,343,absent,absent,0
343-1,343,present,present,1
344-0,344,absent,absent,0
344-1,344,present,present,1
345-0,345,absent,absent,0
345-1,345,present,present,1
346-0,346,absent,absent,0
346-1,346,present,present,1
347-0,347,absent,absent,0
347-1,347,present,present,1
348-0,348,absent,absent,0
348-1,348,present,present,1
349-0,349,absent,absent,0
349-1,349,present,present,1
350-0,350,absent,absent,0
350-1,350,present,present,1
351-0,351,absent,absent,0
351-1,351,present,present,1
352-0,352,absent,absent,0
352-1,352,present,present,1
